Id,Solution
1,0
2,0
3,1
4,0
5,0
6,0
7,1
8,1
9,0
10,0
11,0
12,0
13,0
14,1
15,1
16,1
17,1
18,0
19,0
20,1
21,1
22,0
23,1
24,0
25,1
26,1
27,0
28,0
29,1
30,0
31,1
32,0
33,1
34,1
35,1
36,0
37,1
38,1
39,1
40,0
41,0
42,0
43,1
44,1
45,1
46,0
47,1
48,1
49,1
50,0
51,0
52,0
53,1
54,0
55,1
56,1
57,0
58,1
59,0
60,0
61,1
62,1
63,0
64,1
65,1
66,0
67,0
68,1
69,1
70,0
71,1
72,0
73,1
74,1
75,1
76,0
77,1
78,1
79,0
80,0
81,1
82,0
83,0
84,0
85,1
86,0
87,0
88,0
89,0
90,1
91,1
92,0
93,1
94,0
95,0
96,1
97,0
98,1
99,1
100,1
101,1
102,1
103,0
104,1
105,0
106,0
107,1
108,0
109,0
110,1
111,1
112,0
113,1
114,1
115,0
116,0
117,1
118,1
119,0
120,0
121,0
122,0
123,1
124,1
125,0
126,1
127,1
128,1
129,0
130,0
131,1
132,0
133,0
134,0
135,1
136,0
137,0
138,1
139,1
140,0
141,1
142,0
143,0
144,0
145,0
146,0
147,0
148,1
149,0
150,0
151,1
152,0
153,0
154,0
155,0
156,0
157,0
158,1
159,1
160,1
161,1
162,1
163,1
164,0
165,0
166,1
167,0
168,1
169,1
170,1
171,0
172,1
173,1
174,0
175,1
176,1
177,0
178,0
179,0
180,1
181,1
182,0
183,0
184,0
185,1
186,1
187,0
188,0
189,0
190,1
191,1
192,1
193,1
194,1
195,0
196,0
197,0
198,1
199,1
200,0
201,1
202,1
203,0
204,1
205,0
206,1
207,0
208,1
209,1
210,1
211,1
212,1
213,0
214,0
215,1
216,0
217,1
218,1
219,0
220,0
221,0
222,0
223,1
224,0
225,1
226,0
227,1
228,1
229,0
230,1
231,0
232,0
233,0
234,0
235,1
236,1
237,1
238,1
239,0
240,0
241,1
242,1
243,0
244,0
245,1
246,1
247,0
248,1
249,0
250,1
251,0
252,1
253,1
254,1
255,0
256,1
257,0
258,1
259,0
260,1
261,1
262,1
263,0
264,1
265,1
266,0
267,1
268,1
269,1
270,1
271,1
272,1
273,0
274,1
275,1
276,0
277,1
278,0
279,1
280,1
281,0
282,0
283,1
284,0
285,1
286,1
287,1
288,0
289,1
290,0
291,1
292,1
293,1
294,1
295,0
296,1
297,1
298,0
299,1
300,0
301,1
302,0
303,1
304,0
305,0
306,1
307,0
308,0
309,1
310,0
311,0
312,1
313,0
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,0
325,1
326,0
327,1
328,0
329,1
330,0
